unique_id_l,unique_id_r,source_dataset_l,source_dataset_r,clerical_match_score
153,212,df_left,df_right,1.0
154,213,df_left,df_right,1.0
155,214,df_left,df_right,1.0
156,215,df_left,df_right,1.0
157,216,df_left,df_right,1.0
158,217,df_left,df_right,1.0
159,218,df_left,df_right,1.0
160,219,df_left,df_right,1.0
161,220,df_left,df_right,1.0
162,221,df_left,df_right,1.0
163,222,df_left,df_right,1.0
164,223,df_left,df_right,1.0
165,224,df_left,df_right,1.0
166,225,df_left,df_right,1.0
167,226,df_left,df_right,1.0
168,227,df_left,df_right,1.0
169,228,df_left,df_right,1.0
170,229,df_left,df_right,1.0
171,230,df_left,df_right,1.0
172,231,df_left,df_right,1.0
173,232,df_left,df_right,1.0
174,233,df_left,df_right,1.0
175,234,df_left,df_right,1.0
176,235,df_left,df_right,1.0
177,236,df_left,df_right,1.0
178,237,df_left,df_right,1.0
179,238,df_left,df_right,1.0
180,239,df_left,df_right,1.0
181,240,df_left,df_right,1.0
182,241,df_left,df_right,1.0
183,242,df_left,df_right,1.0
184,243,df_left,df_right,1.0
185,244,df_left,df_right,1.0
186,245,df_left,df_right,1.0
187,246,df_left,df_right,1.0
188,247,df_left,df_right,1.0
189,248,df_left,df_right,1.0
190,249,df_left,df_right,1.0
191,250,df_left,df_right,1.0
192,251,df_left,df_right,1.0
193,252,df_left,df_right,1.0
194,253,df_left,df_right,1.0
195,254,df_left,df_right,1.0
196,255,df_left,df_right,1.0
197,256,df_left,df_right,1.0
198,257,df_left,df_right,1.0
199,258,df_left,df_right,1.0
200,259,df_left,df_right,1.0
201,260,df_left,df_right,1.0
202,261,df_left,df_right,1.0
203,262,df_left,df_right,1.0
204,263,df_left,df_right,1.0
205,264,df_left,df_right,1.0
206,265,df_left,df_right,1.0
207,266,df_left,df_right,1.0
208,267,df_left,df_right,1.0
209,268,df_left,df_right,1.0
210,269,df_left,df_right,1.0
211,270,df_left,df_right,1.0
0,20,df_left,df_right,0.0
0,21,df_left,df_right,0.0
0,22,df_left,df_right,0.0
0,23,df_left,df_right,0.0
0,24,df_left,df_right,0.0
0,25,df_left,df_right,0.0
0,26,df_left,df_right,0.0
0,27,df_left,df_right,0.0
0,28,df_left,df_right,0.0
0,29,df_left,df_right,0.0
0,30,df_left,df_right,0.0
0,31,df_left,df_right,0.0
0,32,df_left,df_right,0.0
0,33,df_left,df_right,0.0
0,34,df_left,df_right,0.0
0,35,df_left,df_right,0.0
0,36,df_left,df_right,0.0
0,37,df_left,df_right,0.0
0,38,df_left,df_right,0.0
0,39,df_left,df_right,0.0
0,40,df_left,df_right,0.0
0,41,df_left,df_right,0.0
0,42,df_left,df_right,0.0
0,43,df_left,df_right,0.0
0,44,df_left,df_right,0.0
0,45,df_left,df_right,0.0
