match_weight|match_probability|source_dataset_l|source_dataset_r|unique_id_l|unique_id_r|Price_Cat_l|Price_Cat_r|gamma_Price_Cat|Title_l|Title_r|gamma_Title|Product_Type_l|Product_Type_r|gamma_Product_Type|Brand_l|Brand_r|gamma_Brand
3.389862642559647|0.9129082906414177|df_left|df_right|161|220|700-800|800-900|0|Microsoft Surface Pro 7|Microsoft Surface Pro 7|4|Tablet|Laptop/Tablet|0|Microsoft|Microsoft|4
3.389862642559647|0.9129082906414177|df_left|df_right|164|223|>=1000|900-1000|0|Dell XPS 13|Dell XPS 13|4|Laptop|Ultrabook|0|Dell|Dell|4
3.389862642559647|0.9129082906414177|df_left|df_right|166|225|>=1000|900-1000|0|Samsung Q70T 55 Inch QLED|Samsung Q70T 55 Inch QLED|4|TV|Television|0|Samsung|Samsung|4
3.389862642559647|0.9129082906414177|df_left|df_right|168|227|500-600|400-500|0|Microsoft Xbox Series X|Microsoft Xbox Series X|4|Gaming Console|Console|0|Microsoft|Microsoft|4
3.389862642559647|0.9129082906414177|df_left|df_right|179|238|400-500|300-400|0|LG 27UK850-W 27 Inch 4K|LG 27UK850-W 27 Inch 4K|4|Monitor|Gaming Monitor|0|LG|LG|4
3.389862642559647|0.9129082906414177|df_left|df_right|182|241|200-300|100-200|0|Logitech G Pro X Wireless|Logitech G Pro X Wireless|4|Gaming Headset|Headphones|0|Logitech|Logitech|4
3.389862642559647|0.9129082906414177|df_left|df_right|185|244|600-700|500-600|0|Apple iPad Air|Apple iPad Air|4|Tablet|iPad|0|Apple|Apple|4
3.389862642559647|0.9129082906414177|df_left|df_right|190|249|400-500|300-400|0|Dell S3221QS 32 Inch Curved|Dell S3221QS 32 Inch Curved|4|Monitor|Gaming Monitor|0|Dell|Dell|4
3.389862642559647|0.9129082906414177|df_left|df_right|193|252|100-200|<100|0|Logitech MX Master 3|Logitech MX Master 3|4|Mouse|Wireless Mouse|0|Logitech|Logitech|4
3.389862642559647|0.9129082906414177|df_left|df_right|196|255|400-500|300-400|0|Apple Watch Series 6|Apple Watch Series 6|4|Smartwatch|Fitness Watch|0|Apple|Apple|4
3.389862642559647|0.9129082906414177|df_left|df_right|199|258|600-700|500-600|0|Microsoft Surface Laptop Go|Microsoft Surface Laptop Go|4|Laptop|Ultrabook|0|Microsoft|Microsoft|4
3.389862642559647|0.9129082906414177|df_left|df_right|205|264|400-500|300-400|0|Samsung Galaxy A71|Samsung Galaxy A71|4|Smartphone|Phone|0|Samsung|Samsung|4
3.389862642559647|0.9129082906414177|df_left|df_right|207|266|400-500|300-400|0|Vizio V-Series 50 Inch 4K|Vizio V-Series 50 Inch 4K|4|TV|Television|0|Vizio|Vizio|4
